"individual","Row","Column","trait","trait_id"
80,4,"H",2.21397,"Area"
81,23,"D",1.62846,"Area"
82,9,"D",NA,"Area"
83,17,"H",NA,"Area"
84,7,"G",NA,"Area"
85,31,"F",NA,"Area"
86,7,"E",NA,"Area"
87,25,"D",4.27655,"Area"
88,29,"H",1.51591,"Area"
89,25,"C",NA,"Area"
90,30,"G",3.09748,"Area"
91,8,"G",4.05734,"Area"
92,26,"E",7.03934,"Area"
93,7,"B",2.14157,"Area"
94,19,"A",NA,"Area"
95,1,"B",NA,"Area"
96,18,"C",NA,"Area"
97,14,"A",NA,"Area"
98,NA,"",1.76989,"Area"
99,11,"A",3.42265,"Area"
100,21,"A",1.8048,"Area"
101,9,"G",1.80408,"Area"
102,3,"G",1.51742,"Area"
103,1,"G",NA,"Area"
104,17,"A",1.26179,"Area"
105,24,"D",2.68673,"Area"
106,2,"E",NA,"Area"
107,32,"A",2.45412,"Area"
108,18,"A",5.77174,"Area"
109,27,"H",4.71246,"Area"
110,11,"E",NA,"Area"
111,13,"E",NA,"Area"
112,36,"B",3.63189,"Area"
113,29,"G",2.22057,"Area"
114,17,"C",1.81749,"Area"
115,32,"D",1.88071,"Area"
116,32,"E",2.1719,"Area"
117,15,"C",NA,"Area"
118,16,"E",NA,"Area"
119,33,"D",NA,"Area"
120,27,"E",10.73589,"Area"
121,24,"A",1.61727,"Area"
122,7,"A",NA,"Area"
123,31,"A",4.0782,"Area"
124,28,"C",6.63819,"Area"
125,9,"B",2.70458,"Area"
126,6,"F",3.32171,"Area"
127,30,"H",NA,"Area"
128,1,"F",3.0463,"Area"
129,8,"C",NA,"Area"
130,12,"A",5.03096,"Area"
131,27,"A",NA,"Area"
132,9,"F",2.31118,"Area"
133,31,"E",NA,"Area"
134,35,"C",3.35928,"Area"
135,28,"B",6.43131,"Area"
136,9,"A",5.86293,"Area"
137,26,"G",4.07232,"Area"
138,21,"D",3.83361,"Area"
139,12,"F",2.88315,"Area"
140,21,"F",4.04229,"Area"
141,23,"E",3.22974,"Area"
142,17,"B",NA,"Area"
143,3,"F",5.91425,"Area"
144,19,"D",NA,"Area"
145,14,"E",2.76437,"Area"
146,4,"D",NA,"Area"
147,24,"F",9.04672,"Area"
148,20,"D",2.8739,"Area"
149,13,"A",3.25605,"Area"
150,36,"A",3.48021,"Area"
151,17,"F",NA,"Area"
152,2,"G",2.36172,"Area"
153,19,"G",NA,"Area"
154,33,"C",3.23125,"Area"
155,32,"F",6.53884,"Area"
156,16,"G",2.12602,"Area"
157,30,"C",6.13784,"Area"
158,18,"D",2.05247,"Area"
159,6,"B",3.28824,"Area"
160,2,"B",2.84365,"Area"
161,12,"G",NA,"Area"
162,11,"G",5.15784,"Area"
163,2,"H",NA,"Area"
164,14,"B",NA,"Area"
165,15,"B",NA,"Area"
166,11,"D",NA,"Area"
167,8,"B",4.77368,"Area"
168,27,"G",3.46644,"Area"
169,3,"B",3.21469,"Area"
170,5,"F",4.64945,"Area"
171,27,"D",7.91389,"Area"
172,25,"E",2.72924,"Area"
173,14,"F",3.42745,"Area"
174,32,"B",1.71906,"Area"
175,3,"E",2.89533,"Area"
176,19,"E",3.11512,"Area"
177,8,"E",2.79283,"Area"
178,5,"H",2.92573,"Area"
179,24,"C",5.16537,"Area"
180,4,"G",3.2425,"Area"
181,8,"H",NA,"Area"
182,9,"C",3.30279,"Area"
183,28,"G",3.06551,"Area"
184,18,"E",3.10121,"Area"
185,14,"C",NA,"Area"
186,19,"C",NA,"Area"
187,3,"A",3.542,"Area"
188,35,"G",3.4929,"Area"
189,15,"G",NA,"Area"
190,16,"D",NA,"Area"
191,34,"G",NA,"Area"
192,14,"H",2.53706,"Area"
193,13,"B",NA,"Area"
194,6,"H",NA,"Area"
195,34,"H",6.5088,"Area"
196,23,"G",NA,"Area"
197,4,"B",4.04501,"Area"
198,25,"B",4.99562,"Area"
199,23,"A",2.30838,"Area"
200,25,"G",5.31067,"Area"
201,31,"G",4.24816,"Area"
202,26,"F",6.74379,"Area"
203,34,"A",NA,"Area"
204,33,"E",NA,"Area"
205,16,"A",NA,"Area"
206,12,"E",NA,"Area"
207,23,"C",NA,"Area"
208,6,"A",6.33798,"Area"
209,33,"F",3.96085,"Area"
210,15,"A",NA,"Area"
211,23,"F",5.73855,"Area"
212,29,"D",NA,"Area"
213,24,"H",4.37383,"Area"
214,16,"B",NA,"Area"
215,15,"H",3.12308,"Area"
216,25,"H",NA,"Area"
217,16,"C",5.36494,"Area"
218,29,"A",3.88128,"Area"
219,3,"H",4.75046,"Area"
220,12,"C",NA,"Area"
221,3,"C",NA,"Area"
222,8,"D",NA,"Area"
223,13,"G",2.50523,"Area"
224,31,"B",5.29311,"Area"
225,16,"H",NA,"Area"
226,25,"F",4.7134,"Area"
227,33,"H",2.85541,"Area"
228,33,"B",7.52421,"Area"
229,24,"B",2.14336,"Area"
230,28,"F",4.14379,"Area"
231,20,"C",2.31985,"Area"
232,2,"F",3.43756,"Area"
1,33,"G",NA,"PA"
2,22,"C",2.404934444,"PA"
3,16,"F",NA,"PA"
4,36,"C",2.631571256,"PA"
5,28,"H",2.047366314,"PA"
6,3,"D",2.576128918,"PA"
7,20,"F",NA,"PA"
8,30,"A",2.880895899,"PA"
9,22,"F",2.059548614,"PA"
10,29,"F",2.613427965,"PA"
11,34,"D",2.302340445,"PA"
12,2,"A",2.21103841,"PA"
13,7,"F",2.083383617,"PA"
14,10,"D",NA,"PA"
15,32,"C",2.299901613,"PA"
16,35,"A",2.503859051,"PA"
17,5,"C",2.714869936,"PA"
18,35,"D",NA,"PA"
19,35,"E",2.910669929,"PA"
20,11,"C",3.252092522,"PA"
21,8,"F",2.905777275,"PA"
22,34,"F",2.362475994,"PA"
23,1,"D",3.006274137,"PA"
24,5,"A",1.765741,"PA"
25,26,"D",1.954696804,"PA"
26,30,"D",1.814555778,"PA"
27,27,"B",NA,"PA"
28,15,"F",NA,"PA"
29,5,"G",1.528124625,"PA"
30,36,"E",NA,"PA"
31,21,"H",2.604168366,"PA"
32,23,"B",NA,"PA"
33,4,"F",2.167518223,"PA"
34,30,"B",2.288946988,"PA"
35,29,"E",2.272465665,"PA"
36,23,"H",2.31750526,"PA"
37,21,"G",2.264477724,"PA"
38,11,"H",NA,"PA"
39,14,"D",2.281920865,"PA"
40,1,"E",2.761103971,"PA"
41,12,"D",2.2164596,"PA"
42,4,"A",2.72508755,"PA"
43,26,"B",2.759523362,"PA"
44,13,"C",NA,"PA"
45,14,"G",2.400349258,"PA"
46,NA,"D",2.349499175,"PA"
47,17,"D",NA,"PA"
48,29,"C",1.881479183,"PA"
49,1,"A",2.996578554,"PA"
50,13,"D",2.512403638,"PA"
51,9,"E",2.765997192,"PA"
52,32,"G",3.892899589,"PA"
53,5,"B",3.114172211,"PA"
54,NA,"G",4.594252173,"PA"
55,10,"G",NA,"PA"
56,28,"A",2.765997192,"PA"
57,20,"H",3.131431342,"PA"
58,32,"H",3.892899589,"PA"
59,20,"A",3.114172211,"PA"
60,20,"G",4.594252173,"PA"
61,13,"F",2.382490484,"PA"
62,35,"F",NA,"PA"
63,15,"E",NA,"PA"
64,11,"F",3.007088105,"PA"
65,10,"A",2.748842399,"PA"
66,31,"D",3.761319946,"PA"
67,6,"E",3.20000809,"PA"
68,18,"F",3.152648309,"PA"
69,26,"A",NA,"PA"
70,2,"C",NA,"PA"
71,25,"A",NA,"PA"
72,31,"C",NA,"PA"
73,22,"A",1.885440844,"PA"
74,8,"A",3.585203728,"PA"
75,17,"G",NA,"PA"
76,35,"B",NA,"PA"
77,33,"A",NA,"PA"
78,11,"B",2.194842199,"PA"
79,21,"E",2.7802098,"PA"
80,4,"H",3.004751645,"PA"
81,23,"D",3.827020621,"PA"
82,9,"D",NA,"PA"
83,17,"H",NA,"PA"
84,7,"G",NA,"PA"
85,31,"F",NA,"PA"
86,7,"E",NA,"PA"
87,25,"D",2.804262782,"PA"
88,29,"H",4.535770593,"PA"
89,25,"C",NA,"PA"
90,30,"G",3.341532472,"PA"
91,8,"G",2.843629077,"PA"
92,26,"E",2.205274926,"PA"
93,7,"B",3.368617416,"PA"
94,19,"A",NA,"PA"
95,1,"B",NA,"PA"
96,18,"C",NA,"PA"
97,14,"A",NA,"PA"
98,NA,"",3.844295408,"PA"
99,11,"A",2.663281376,"PA"
100,21,"A",3.909059176,"PA"
101,9,"G",3.969214226,"PA"
102,3,"G",4.089368797,"PA"
103,1,"G",NA,"PA"
104,17,"A",3.96053226,"PA"
105,24,"D",3.398525345,"PA"
106,2,"E",NA,"PA"
107,32,"A",3.212133066,"PA"
108,18,"A",2.122023861,"PA"
109,27,"H",2.292159509,"PA"
110,11,"E",NA,"PA"
111,13,"E",NA,"PA"
112,36,"B",2.605979256,"PA"
113,29,"G",3.066140676,"PA"
114,17,"C",3.339127038,"PA"
115,32,"D",3.579573672,"PA"
116,32,"E",3.237934527,"PA"
117,15,"C",NA,"PA"
118,16,"E",NA,"PA"
119,33,"D",NA,"PA"
120,27,"E",1.488290212,"PA"
121,24,"A",3.193430905,"PA"
122,7,"A",NA,"PA"
123,31,"A",2.768397823,"PA"
124,28,"C",1.796580092,"PA"
125,9,"B",2.88999401,"PA"
126,6,"F",3.363493502,"PA"
127,30,"H",NA,"PA"
128,1,"F",2.420444474,"PA"
129,8,"C",NA,"PA"
130,12,"A",1.924425954,"PA"
131,27,"A",NA,"PA"
132,9,"F",2.914329477,"PA"
133,31,"E",NA,"PA"
134,35,"C",3.417979448,"PA"
135,28,"B",2.393154738,"PA"
136,9,"A",2.421256948,"PA"
137,26,"G",2.367316419,"PA"
138,21,"D",2.735226066,"PA"
139,12,"F",2.777743093,"PA"
140,21,"F",2.615302217,"PA"
141,23,"E",2.670902302,"PA"
142,17,"B",NA,"PA"
143,3,"F",2.102242888,"PA"
144,19,"D",NA,"PA"
145,14,"E",3.420764948,"PA"
146,4,"D",NA,"PA"
147,24,"F",1.600234118,"PA"
148,20,"D",2.880733498,"PA"
149,13,"A",2.735163772,"PA"
150,36,"A",2.680387103,"PA"
151,17,"F",NA,"PA"
152,2,"G",3.249068476,"PA"
153,19,"G",NA,"PA"
154,33,"C",2.964131528,"PA"
155,32,"F",1.880718904,"PA"
156,16,"G",3.50646278,"PA"
157,30,"C",2.044165374,"PA"
158,18,"D",3.941548476,"PA"
159,6,"B",2.617610028,"PA"
160,2,"B",2.758771297,"PA"
161,12,"G",NA,"PA"
162,11,"G",2.603442526,"PA"
163,2,"H",NA,"PA"
164,14,"B",NA,"PA"
165,15,"B",NA,"PA"
166,11,"D",NA,"PA"
167,8,"B",1.986111344,"PA"
168,27,"G",2.480083313,"PA"
169,3,"B",2.468499295,"PA"
170,5,"F",2.155205454,"PA"
171,27,"D",1.661229812,"PA"
172,25,"E",3.111071214,"PA"
173,14,"F",2.794307721,"PA"
174,32,"B",3.257768781,"PA"
175,3,"E",3.034572916,"PA"
176,19,"E",2.625754385,"PA"
177,8,"E",3.087699574,"PA"
178,5,"H",2.751169794,"PA"
179,24,"C",2.060249314,"PA"
180,4,"G",2.623728604,"PA"
181,8,"H",NA,"PA"
182,9,"C",2.547818662,"PA"
183,28,"G",2.628632756,"PA"
184,18,"E",2.916116613,"PA"
185,14,"C",NA,"PA"
186,19,"C",NA,"PA"
187,3,"A",2.876002259,"PA"
188,35,"G",2.907709926,"PA"
189,15,"G",NA,"PA"
190,16,"D",NA,"PA"
191,34,"G",NA,"PA"
192,14,"H",2.933647608,"PA"
193,13,"B",NA,"PA"
194,6,"H",NA,"PA"
195,34,"H",1.934911197,"PA"
196,23,"G",NA,"PA"
197,4,"B",2.08615059,"PA"
198,25,"B",2.354324388,"PA"
199,23,"A",3.073995616,"PA"
200,25,"G",2.356113259,"PA"
201,31,"G",2.018525668,"PA"
202,26,"F",1.978432009,"PA"
203,34,"A",NA,"PA"
204,33,"E",NA,"PA"
205,16,"A",NA,"PA"
206,12,"E",NA,"PA"
207,23,"C",NA,"PA"
208,6,"A",2.150906125,"PA"
209,33,"F",2.750051125,"PA"
210,15,"A",NA,"PA"
211,23,"F",2.193845135,"PA"
212,29,"D",NA,"PA"
213,24,"H",2.534273166,"PA"
214,16,"B",NA,"PA"
215,15,"H",2.814865453,"PA"
216,25,"H",NA,"PA"
217,16,"C",2.195661088,"PA"
218,29,"A",2.415311444,"PA"
219,3,"H",2.85515929,"PA"
220,12,"C",NA,"PA"
221,3,"C",NA,"PA"
222,8,"D",NA,"PA"
223,13,"G",2.741165482,"PA"
224,31,"B",2.247302625,"PA"
225,16,"H",NA,"PA"
226,25,"F",2.562095303,"PA"
227,33,"H",3.056328163,"PA"
228,33,"B",1.771795311,"PA"
229,24,"B",3.040767766,"PA"
230,28,"F",2.897851966,"PA"
231,20,"C",3.168653146,"PA"
232,2,"F",2.643628038,"PA"
1,33,"G",NA,"SLA"
2,22,"C",70.65917768,"SLA"
3,16,"F",NA,"SLA"
4,36,"C",99.13745583,"SLA"
5,28,"H",83.49671233,"SLA"
6,3,"D",68.5750469,"SLA"
7,20,"F",NA,"SLA"
8,30,"A",78.15353982,"SLA"
9,22,"F",98.11911197,"SLA"
10,29,"F",77.50606061,"SLA"
11,34,"D",83.97482517,"SLA"
12,2,"A",89.44976636,"SLA"
13,7,"F",81.4395189,"SLA"
14,10,"D",NA,"SLA"
15,32,"C",78.90890909,"SLA"
16,35,"A",78.8992381,"SLA"
17,5,"C",95.34250765,"SLA"
18,35,"D",NA,"SLA"
19,35,"E",80.75795796,"SLA"
20,11,"C",93.17208481,"SLA"
21,8,"F",81.64678363,"SLA"
22,34,"F",83.36812386,"SLA"
23,1,"D",82.47513228,"SLA"
24,5,"A",89.57642643,"SLA"
25,26,"D",76.19976744,"SLA"
26,30,"D",121.8348089,"SLA"
27,27,"B",NA,"SLA"
28,15,"F",NA,"SLA"
29,5,"G",70.3308835,"SLA"
30,36,"E",NA,"SLA"
31,21,"H",77.10062893,"SLA"
32,23,"B",NA,"SLA"
33,4,"F",78.22857143,"SLA"
34,30,"B",93.10605428,"SLA"
35,29,"E",90.15444685,"SLA"
36,23,"H",80.33901099,"SLA"
37,21,"G",86.24055202,"SLA"
38,11,"H",NA,"SLA"
39,14,"D",84.32311111,"SLA"
40,1,"E",109.2070175,"SLA"
41,12,"D",90.91328829,"SLA"
42,4,"A",94.69290323,"SLA"
43,26,"B",107.2434109,"SLA"
44,13,"C",NA,"SLA"
45,14,"G",103.0504405,"SLA"
46,NA,"D",89.32631579,"SLA"
47,17,"D",NA,"SLA"
48,29,"C",85.9813099,"SLA"
49,1,"A",86.69532468,"SLA"
50,13,"D",81.04643875,"SLA"
51,9,"E",73.73261456,"SLA"
52,32,"G",86.75699482,"SLA"
53,5,"B",79.78877285,"SLA"
54,NA,"G",97.74444444,"SLA"
55,10,"G",NA,"SLA"
56,28,"A",73.73261456,"SLA"
57,20,"H",73.47757256,"SLA"
58,32,"H",86.75699482,"SLA"
59,20,"A",79.78877285,"SLA"
60,20,"G",97.74444444,"SLA"
61,13,"F",68.27256236,"SLA"
62,35,"F",NA,"SLA"
63,15,"E",NA,"SLA"
64,11,"F",70.1835443,"SLA"
65,10,"A",86.95577558,"SLA"
66,31,"D",84.87901786,"SLA"
67,6,"E",78.34542254,"SLA"
68,18,"F",92.53738739,"SLA"
69,26,"A",NA,"SLA"
70,2,"C",NA,"SLA"
71,25,"A",NA,"SLA"
72,31,"C",NA,"SLA"
73,22,"A",62.85469506,"SLA"
74,8,"A",77.45371179,"SLA"
75,17,"G",NA,"SLA"
76,35,"B",NA,"SLA"
77,33,"A",NA,"SLA"
78,11,"B",81.87113752,"SLA"
79,21,"E",87.97562814,"SLA"
80,4,"H",86.82235294,"SLA"
81,23,"D",89.97016575,"SLA"
82,9,"D",NA,"SLA"
83,17,"H",NA,"SLA"
84,7,"G",NA,"SLA"
85,31,"F",NA,"SLA"
86,7,"E",NA,"SLA"
87,25,"D",76.77827648,"SLA"
88,29,"H",113.1276119,"SLA"
89,25,"C",NA,"SLA"
90,30,"G",99.91870968,"SLA"
91,8,"G",83.82933884,"SLA"
92,26,"E",81.37965318,"SLA"
93,7,"B",78.15948905,"SLA"
94,19,"A",NA,"SLA"
95,1,"B",NA,"SLA"
96,18,"C",NA,"SLA"
97,14,"A",NA,"SLA"
98,NA,"",82.70514019,"SLA"
99,11,"A",74.89387309,"SLA"
100,21,"A",83.55555556,"SLA"
101,9,"G",83.91069767,"SLA"
102,3,"G",66.55350877,"SLA"
103,1,"G",NA,"SLA"
104,17,"A",74.66213018,"SLA"
105,24,"D",79.48905325,"SLA"
106,2,"E",NA,"SLA"
107,32,"A",83.47346939,"SLA"
108,18,"A",77.3691689,"SLA"
109,27,"H",79.60236486,"SLA"
110,11,"E",NA,"SLA"
111,13,"E",NA,"SLA"
112,36,"B",86.67995227,"SLA"
113,29,"G",93.3012605,"SLA"
114,17,"C",90.42238806,"SLA"
115,32,"D",77.07827869,"SLA"
116,32,"E",104.9227053,"SLA"
117,15,"C",NA,"SLA"
118,16,"E",NA,"SLA"
119,33,"D",NA,"SLA"
120,27,"E",80.47893553,"SLA"
121,24,"A",108.5416107,"SLA"
122,7,"A",NA,"SLA"
123,31,"A",69.71282051,"SLA"
124,28,"C",72.15423913,"SLA"
125,9,"B",79.08128655,"SLA"
126,6,"F",80.23454106,"SLA"
127,30,"H",NA,"SLA"
128,1,"F",74.66421569,"SLA"
129,8,"C",NA,"SLA"
130,12,"A",68.26268657,"SLA"
131,27,"A",NA,"SLA"
132,9,"F",84.04290909,"SLA"
133,31,"E",NA,"SLA"
134,35,"C",82.7408867,"SLA"
135,28,"B",72.83476784,"SLA"
136,9,"A",83.75614286,"SLA"
137,26,"G",95.3704918,"SLA"
138,21,"D",92.59927536,"SLA"
139,12,"F",79.64502762,"SLA"
140,21,"F",77.73634615,"SLA"
141,23,"E",80.54214464,"SLA"
142,17,"B",NA,"SLA"
143,3,"F",72.74600246,"SLA"
144,19,"D",NA,"SLA"
145,14,"E",88.03726115,"SLA"
146,4,"D",NA,"SLA"
147,24,"F",80.84647006,"SLA"
148,20,"D",82.82132565,"SLA"
149,13,"A",98.96808511,"SLA"
150,36,"A",96.94178273,"SLA"
151,17,"F",NA,"SLA"
152,2,"G",86.50989011,"SLA"
153,19,"G",NA,"SLA"
154,33,"C",78.81097561,"SLA"
155,32,"F",74.47425968,"SLA"
156,16,"G",85.0408,"SLA"
157,30,"C",83.16856369,"SLA"
158,18,"D",84.46378601,"SLA"
159,6,"B",72.42819383,"SLA"
160,2,"B",71.80934343,"SLA"
161,12,"G",NA,"SLA"
162,11,"G",84.00390879,"SLA"
163,2,"H",NA,"SLA"
164,14,"B",NA,"SLA"
165,15,"B",NA,"SLA"
166,11,"D",NA,"SLA"
167,8,"B",82.73275563,"SLA"
168,27,"G",87.75797468,"SLA"
169,3,"B",75.63976471,"SLA"
170,5,"F",78.67089679,"SLA"
171,27,"D",72.405215,"SLA"
172,25,"E",82.2060241,"SLA"
173,14,"F",74.83515284,"SLA"
174,32,"B",77.78552036,"SLA"
175,3,"E",87.73727273,"SLA"
176,19,"E",92.16331361,"SLA"
177,8,"E",80.02378223,"SLA"
178,5,"H",90.86118012,"SLA"
179,24,"C",82.91123596,"SLA"
180,4,"G",90.82633053,"SLA"
181,8,"H",NA,"SLA"
182,9,"C",81.55037037,"SLA"
183,28,"G",87.08835227,"SLA"
184,18,"E",80.13462532,"SLA"
185,14,"C",NA,"SLA"
186,19,"C",NA,"SLA"
187,3,"A",78.88641425,"SLA"
188,35,"G",97.56703911,"SLA"
189,15,"G",NA,"SLA"
190,16,"D",NA,"SLA"
191,34,"G",NA,"SLA"
192,14,"H",85.13624161,"SLA"
193,13,"B",NA,"SLA"
194,6,"H",NA,"SLA"
195,34,"H",70.67100977,"SLA"
196,23,"G",NA,"SLA"
197,4,"B",82.55122449,"SLA"
198,25,"B",86.57920277,"SLA"
199,23,"A",89.47209302,"SLA"
200,25,"G",99.63733583,"SLA"
201,31,"G",86.69714286,"SLA"
202,26,"F",85.14886364,"SLA"
203,34,"A",NA,"SLA"
204,33,"E",NA,"SLA"
205,16,"A",NA,"SLA"
206,12,"E",NA,"SLA"
207,23,"C",NA,"SLA"
208,6,"A",77.19829476,"SLA"
209,33,"F",102.0837629,"SLA"
210,15,"A",NA,"SLA"
211,23,"F",62.85377875,"SLA"
212,29,"D",NA,"SLA"
213,24,"H",60.41201657,"SLA"
214,16,"B",NA,"SLA"
215,15,"H",87.48123249,"SLA"
216,25,"H",NA,"SLA"
217,16,"C",79.71679049,"SLA"
218,29,"A",70.31304348,"SLA"
219,3,"H",81.06587031,"SLA"
220,12,"C",NA,"SLA"
221,3,"C",NA,"SLA"
222,8,"D",NA,"SLA"
223,13,"G",67.34489247,"SLA"
224,31,"B",69.92219287,"SLA"
225,16,"H",NA,"SLA"
226,25,"F",78.55666667,"SLA"
227,33,"H",82.28847262,"SLA"
228,33,"B",62.44157676,"SLA"
229,24,"B",69.58961039,"SLA"
230,28,"F",69.17846411,"SLA"
231,20,"C",71.38,"SLA"
232,2,"F",86.5884131,"SLA"
